code,name,udm,sell_price
LAB1065,TROPONINA CUALITATIVA,,"1,576.60"
LAB750,INDICE DE FILTRADO GLOMERULAR,,526.82
104602,EXEL 7.5 MG CAPS 20,MEDICAMENTO,652.65
MATSER010,GUIA DE VARILLA 3.0 MM X 100 MM,,"4,627.91"
MATSER004,CANULA PDN 1010 CATH,,"2,362.50"
SER1356,REDUCCION CERRADA DE FRACTURA DE FALANGE O FALANGES CON MANIPULACION,,"1,012.70"
PQAS004-21102014,PAQUETE ABA SUBSECUENTE,SERVICIO,
112919,FLORATIL PED (SACCHAROMYCES BOULARDII) POLVO 200MG SB,,431.57
MAT1425,ASEPTO JERINGA 60ML ,,156.66
PQAS056-27042015,PAQUETE AXA QUIRURGICO,,"83,847.48"
MAT504,GAFIDEX 4LTS,,231.24
100539,ALIN (DEXAMETASONA) AMP 8MG/2ML,MEDICAMENTO,178.34
SER884,GASTRECTOMIA TOTAL; CON ESOFAGOENTEROANASTOMOSIS,,"19,700.55"
106017,ISORBID 10 MG TAB 40,MEDICAMENTO,304.25
106335,KOPTIN 200MG SUSP 22.5ML,MEDICAMENTO,278.76
100457,ALBUMINA-HUMANA 2Tasa 16 % BEHRING 50ML,MEDICAMENTO,"1,968.00"
PQAS012-09042015,PAQUETE MEDICAVIAL S360,,374.4
SER1340,REDUCCION CERRADA DE FRACTURA DE ASTRAGALO SIN MANIPULACION,,"2,443.00"
SER1397,REDUCCION CERRADA DE LUXACION DE CADERA (CONGENITA O PATOLOGICA) CON MANUPULACION BAJO ANESTESIA,,"9,876.38"
MAT754,MULETAS DE ALUMINIO CHICAS,,558.62
PQAS001-21102014,PAQUETE MAPFRE SUBSECUENTE,SERVICIO,0
SER1257,RECONSTRUCCION POR LUXACION RECURRENTE DE ROTULA (PROCEDIMIENTO TIPO HAUSER),,"13,833.20"
LAB308,BCR/ABL POR FISH,,"8,056.58"
SER045,SERVICIO TIEMPO EXTRA,,"4,158.47"
LAB589,DIAZEPAM NIVEL DE,,"1,936.76"
115235,CARIDOXEN 250MG/200MG 30 CAPS,MEDICAMENTO,206.67
111005,TESALON 50MG C/12 SUPS,MEDICAMENTO,210.27
PQ052-15012015,HERNIA UMB/BLQ/AMB,,"7,072.00"
IMA184,TC ANGIO AORTA ILIACAS RENALES (P),,"5,964.00"
SER995,INYECCION DE AGENTE ANESTESICO; EN GANGLION ESTELAR (SIMPATICO CERVICAL),,"2,818.85"
SER221,ANGIOGRAFIA RETINIANA CON FLUORESCEINA,,"1,607.79"
MAT035,AGUJA SPINAL NEEDLE 18GA 3.5OIN 1.20X90MM REF405184 BD,,193.63
PQAS012,MEDICAVIAL_S360,,416.03
SER351,BIOPSIA DE HIPOFARINGE,,"1,398.99"
114302,HIPERTON SOL CS 17.7% 10ML,,60
SER1483,RESECCION DE QUISTES DE OVARIO SERVICIOS MEDICO,,"9,041.17"
SER552,CONTROL DE HEMORRAGIA NASAL POSTERIOR CUALQUIER METODO,,"3,215.57"
SER1476,RESECCION DE CUELLO VESICAL POR VIA TRANSURETRAL,,"9,323.06"
MAT938,RUSKIN ROWLAND NASAL 18CM STR DOBLE ACCION HP,,"1,958.02"
SER1230,PROCTOSIGMOIDOSCOPIA RIGIDA CON EXTRACCION DE TUMOR UNICO POLIPO U OTRA LESION,,"2,004.51"
114923,ROXIDOLIN 100MG C/10 TAB (DOXICICLINA),,2.95
112237,ZOVIRAX 200MG DISPER TAB 25,MEDICAMENTO,763.26
101335,AVAPENA 20 MG AMP 5X2 ML,MEDICAMENTO,299.24
SER1459,REPARACION DE VASOS EN EXTREMIDADES SUPERIORES,,"15,472.30"
103788,DOSTEIN 300 MG CAPS 20,MEDICAMENTO,382.71
MATSER013,KIT DE INMOVILIZACION PLUS,,"9,252.17"
SER1305,REDUCCION ABIERTA DE FRACTURA NASAL- CON FIJADORES ESQUELETICOS EXTERNOS O INTERNOS.,,"9,041.17"
SER2043,DIALISIS PERITONEAL ( 1- 4 SESIONES),,"1,170.00"
SER1492,RESECCION O TRANSPLANTE DE TENDON LARGO DE BICEPS POR TENOSINOVITIS CRONICA,,"11,014.36"
SER1611,TIMPANOPLASTIA SIN MASTOIDECTOMIA (INCLUYE PLASTIA DE CANAL AUDITIVO ATICOTOMIA Y/O CIRUGIA DE OIDO MEDIO) INICIAL O SUBSECUENTE; SIN RECONSTRUCCION DE HUESECILLOS PROPIOS DEL OIDO.,,"13,405.14"
105049,FOSFOCIL IV 1 G AMP,MEDICAMENTO,230
SER1630,TRANSFERENCIA DEL MUSCULO OBLICUO EXTERNO A TROCANTER MAYOR INCLUYENDO LA EXTENSION DE FASCIA O TENDON.,,"13,133.70"
SER008,CARGA DE ESTERILIZACION,,254.55
SER204,AMPUTACION METACARPAL.,,"12,225.41"
110159,SEVERIN 50 MG SUPS 10,MEDICAMENTO,140.14
MAT8493,DAO SLING DAONSA,OTROS,"1,421.55"
MATSER126,TORNILLO CORTICAL 3.5 X MM,,274.58
LAB309,BCR/ABL POR PCR Y CARIOTIPO,,"18,847.74"
MATSER100,PUNTA P/CAUTERIO 1551 VALLEY 1551-6,,112.77
SER1264,REDUCCION ABIERTA DE FRACTURA ARTICULAR QUE INVOLUCRA ARTICULARES METACARPOFALANGICA O INTERFALANGICA CON O SIN FIJACION INTERNA O EXTERNA CADA UNA,,"4,478.83"
LAB904,PEPSINOGENO I,,"3,695.95"
SER029,CONSULTA GASTROENTEROLOGIA,,344.82
111118,TINADERM 10MG/ML SOL C/20ML (TOLNAFTATO),MEDICAMENTO,150.41
IMA055,RX AGUJEROS OPTICOS,,378.56
SER1801,EQUIPO RADIOFRE/ASIS VISUAL,,"9,637.06"
LAB341,BIOPSIA DE FOSA NASAL (POLIPOS BILATERAL),,"1,061.79"
MAT1349,KIT DRENAJE BLAKE SILICON PLANO 24MM ref 2234,,"3,362.00"
102132,CANESTEN-VD 3D200MGOVSVE+CRA 439,MEDICAMENTO,172.27
LAB102,AMILASA EN ORINA DE 2 HORAS,,357.45
114970,TEMPRA INFANTIL SUPOSITORIO 80MG C/10 (PARACETAMOL),,237.17
SER1035,LAPAROSCOPIA CON COLANGIOGRAFIA TRANSHEPATICA GUIADA;CON BIOPSIA.,,"4,071.66"
107521,MOBICOX 7.5MG TAB14 233000,MEDICAMENTO,764.35
MAT1296,COLLAR CERVICAL BLANDO EXTRA GRANDE COC-XG,,158.81
LAB390,BIOPSIA DE PIEL CARCINOMA BASOCELULAR,,"1,038.70"
SER213,ANGIOGRAFIA BRAQUIAL RETROGRADA SUPERVISION E INTERPRETACION RADIOLOGICAS.,,"6,974.01"
LAB949,POTASIO EN ORINA DE 24 HORAS,,483.6
MAT596,INTROCAN G 22 CATETER PERIFERICO,,"1,201.20"
LAB455,CALCULO URINARIO ESTUDIO CRISTALOGRAFIC,,"1,696.13"
MAT1460,PROLENE  5-0 9556T,MATERIAL DE CURACION,"2,753.07"
PQAS020-31032015,PAQUETE MAPFRE 1ERA VEZ,,"1,704.35"
LAB656,FIBROSURE PARA HCV,,"4,646.81"
LAB209,ANTICUERPOS ANTI HIV ELISA,,831.71
MAT103,BEST LISAS AGUJA TREFINA P/BIOPSIA DE MEDULA OSEA LOTE 0092-10,,900.9
104178,ENTEREX DIAB C/FIBRA VAINI 237ML,MEDICAMENTO,202.8
110498,STERIMAR BEBE NASAL0-3ANOSSPY50ML,MEDICAMENTO,223.06
LAB454,CALCITONINA,,"2,144.69"
114893,TAMEX SOL 100MG/5MG/100ML FCO 60ML(LORATADINA/BETAMETASONA),,115.73
250003012,FENAGEL GEL 60GR,MEDICAMENTO,93.6
LAB233,ANTICUERPOS ANTI PARVOVIRUS B19 IGM,,881.94
SER1662,URETERO. URETEROTOMIA CON EXPLORACION O DRENAJE,,"14,438.73"
MAT1394,EQUIPO PARA SANGRE PREPERFORMADO 105,,287
LAB655,FIBRONECTINA IGA,,"1,659.91"
SER1001,INYECCION DE SUSTANCIA NEUROLITICA EPIDURAL LUMBAR O CAUDAL,,"2,630.92"
SER1687,VENODISECCION EN MENORES DE UN AÑO,,"3,215.57"
114863,CLARITYNE 10MG C/10 TAB (LORATADINA),,174.14
MAT1291,CATETER FOGARTY PARA EMBOLECTOMIA 4FR X 80CM,,"1,361.20"
SER610,DERIVACIONES BILIO-INTESTINALES,,"15,106.89"
LAB992,RAST PENICILINA V,,531.5
PQ016,ENDOSCOPIA/SED/AMB/BCH,,"5,200.00"
MAT1486,FERULA DEDO TIPO SOMBRILLA IMPORTADA ECO-GD,OTROS,110.66
IMA291,RM COLUMNA CERVICAL CON CONTRASTE,,"6,674.00"
106468,LANOXIN C/6 X 2ML AMP,MEDICAMENTO,"2,558.40"
106026,SOLUCION CS FISIOLOGICA 0.9% 1000ML (CLORURO DE SODIO 0.9%),MEDICAMENTO,75.34
MAT1024,SONDA TORAXICA 36FR TROKAR,,200.3
MAT9056,SOL. 2,PROCEDIMIENTO,747.84
110787,TAFIL 75 MG SOL 20 ML,MEDICAMENTO,517
101259,ATIVAN 1 MG TAB 40,Grupo II,566.54
111802,VIRLIX 10 MG TAB 10,MEDICAMENTO,410.39
MAT1380,AGUJA HIPODERMICA DES 20 X 32 B-D,,229.63
111452,ULSEN 20 MG C/7 CAPS 1+1,MEDICAMENTO,449.36
SER101,USO EQUIPO ENDOSCOPIA,,"2,527.20"
MATSER021,PINZA RECTA KOCHER-DEBA KEY 28 cm,,"1,890.00"
IMAEXT091,TC EXTREMIDAD SUPERIOR (P),,"2,982.00"
IMAEXT034,RM ext  DE HOMBRO,,"2,982.00"
SER331,ARTROTOMIA DE RODILLA POR INFECCION CON EXPLORACION DRENAJE O EXTRACCION DE CUERPO EXTRAÑO,,"11,285.80"
105736,HYZAAR 100/25MG GRAG 15,MEDICAMENTO,"1,137.13"
MAT1273,ALCOHOL DESNAT.1000ML PROTEC,,
MAT315,COLLAR FILADELFIA MEDIANO,,396.83
IMA173,RX UROGRAFIA EXCRETORA TECNICA HIPERTENS,,"2,163.20"
PQZ005,CESAREA PLUS 2017,,"24,931.03"
MAT1532,FED5-6 FERULA DE PLASTICO P/DEDO NO.6,,120.51
MAT143,BOTE DE AGUA 500 ML ZANITAS,OTROS,10
MAT1378,TUBO CAPILAR  CON HEPARINA C/200 PYREX,,544.63
MAT1401,SOPORTE PARA EPICONDILITIS -CH SE-CH,,148.02
MATSER158,USO EQUIPO DE MICROCIRUGIA,SERVICIO,"1,700.00"
LAB943,PORCENTAJE DE ANTICUERPOS REACTIVOS,,"4,061.58"
MAT1125,TUBO DE EXTENCION K 50,,191.88
SER1543,SIMPATECTOMIA TORACO-LUMBAR,,"16,098.71"
109495,RANITIDINA 150 MG TAB 20,MEDICAMENTO,51.48
250002951,EXPICIN 500MG C/1 AMP *A,MEDICAMENTO,45.83
103997,ELIDEL 1% 30 G CREMA (PIMECROLIMUS),MEDICAMENTO,
SER082,OXIGENO VIA M.A. CADA 1/2 HRS,,118.06
MAT138,BOTA C/ ELASTICO (PAQ C/100 PZA),,235.05
MAT100009,PRUEBA MINI BOWIE DICK DESECHABLE C/30,PROCEDIMIENTO,
LAB090,ALDOLASA,,"1,135.42"
MAT289,COBAS INTEGRA BIL-T SPECIAL,,915.64
IMA088,RX COLUMNA LUMBAR 4 POSICIONES,,649.04
111350,TRIMEXAZOL 160/800MG AMP6X3ML,MEDICAMENTO,252.3
SER1309,REDUCCION ABIERTA DE FRACTURA SUPRA O TRANSCONDILAR CON O SIN MATERIAL DE OSTEOSINTESIS,,"16,234.43"
SER1542,SIMPATECTOMIA LUMBAR,,"9,594.50"
MAT1205,VENDA ELASTICA  7 CM LEROY,,31.96
SER1173,OSTEOTOMIA DE FEMUR SIN FIJACION,,"16,516.31"
SER1450,REPARACION DE HERNIA DIAFRAGMATICA TRAUMATICA,,"13,415.59"
108173,NOVOVARTALON PVO SB 15       552,MEDICAMENTO,750.24
SER1036,LAPAROSCOPIA CON RESECCION DE LEIOMIOMA SUBSEROSO (UNICO O MULTIPLE),,"11,724.28"
SER299,ARTROSCOPIA DE MUÑECA POR INFECCION LAVADO Y DRENAJE ESCISION Y/O CORRECCION DE FIBROCARTILAGO TRIANGULAR O DESBRIDAMIENTO DE ARTICULACION.,,"7,308.10"
MAT330,CONECTOR ESTERIL GRUESO,,56.41
102945,COMPLEJO B GRAG 30,MEDICAMENTO,88.5
LAB1046,TIPIFICACION VPH POR PCR HOMBRE,,"6,031.04"
100009,INNEFOL 50MG/4ML C/1 VIAL,MEDICAMENTO,243.8
SER144,PUNCION PERITONEAL,,"1,431.61"
MAT1278,STERI STRIP 6MM X 100MM R1546,,"2,800.00"
110952,TEMPRA-FORTE 650 MG TAB 24   189,MEDICAMENTO,219.44
LAB106,AMINOFILINA TEOFILINA,,608.6
LAB664,FONTANA TINCION DE,,279.18
MAT1082,TOALLAS ALWAYS FLUJO ABUNDANTE C/ALAS C/14,,110.97
LAB718,HEPATITIS C VIRUS RNA CUANTITATIVO (PCR),,"1,941.43"
109090,PREMARIN 0.625MG CAJA C/42 GRAG (ESTROGENOS CONJUGADOS),MEDICAMENTO,744.5
101128,ARCOXIA 90 MG CPR 7,MEDICAMENTO,"1,042.25"
LAB1025,SOMATOMEDINA C FACTOR DE CRECIMIENTO IGF-1,,883.11
250001548,CAPTOPRIL GI 30 TAB 25MG,MEDICAMENTO,49.13
MAT726,MICRODACYN 60 SOL 120ML,,254.79
100340,AFRIN NO-DRIP CSE NEB 15 ML,MEDICAMENTO,
IMA221,TC ORBITAS (P),,"4,544.00"
100560,ALLEGRA SUSP ORAL 150 ML (FEXOFENADINA),MEDICAMENTO,503.22
110856,TAVOR JARABE 100MG/100ML FCO C/120 ML (OXIBUTININA),MEDICAMENTO,370.08
SER2028,"GUIA SENSOR ,CANASTILLA, SISTEMA DE IRRIGACION, CAMISA DE ACCESO",,"13,620.00"
SER1499,RESECCION RADICAL DE TUMOR EN PERONE,,"11,724.28"
MAT500,FUNDA DESECH  DESCAR,,160.24
110903,TECTA 20MG CAJA C/28 TABS (PANTOPRAZOL),MEDICAMENTO,860.46
117858,TOUJEO 300U/ML CAJA C/3 PLUMAS PRECARGADAS(INSULINA GLARGINA),,"2,637.12"
LAB779,JAK2 MUTACION (V617F),,"6,757.62"
100345,AFRINEX 1.0/2.5/80 MG TAB 24,MEDICAMENTO,143.52
MAT833,PLACA DE CIERRE EN Z 2.4MM,,"5,705.94"
SER232,APENDICE. APENDICECTOMIA,,"9,813.73"
SER1591,TENOSINOVITIS/LIBERACION TENDON(SERV MEDICOS),,"8,884.56"
MAT1226,VENOFIX  21G,,21.53
114286,CLORURO DE POTASIO 1.49G/10ML (KCL),MEDICAMENTOS GI,502.4
IMA097,RX ESTERNON 2 POSICIONES,,649.04
105840,IMIPENEM 500/500MG SOLINYIV LGEN,MEDICAMENTO,624
PQAS005-26032015,PAQUETE MEDICAVIAL 1ERA VEZ,,"1,144.00"
109402,PULMICORT TURBUHALER 10MG 200 DOSIS(BUDESONIDA),MEDICAMENTO,538.9
SER1189,PANCREATECTOMIA PROXIMAL SUBTOTAL CON DUODENECTOMIA PROXIMAL-TOTAL COLEDOCOENTEROANASTOMOSIS Y DUODENOYEYUNO-ANASTOMOSIS (PROCEDIMIENTO TIPO WHIPPLE) CON PANCREATOYEYUNOANASTOMOSIS.,,"25,411.32"
SER1937,CANILA ELLIQUENCE,,"5,489.89"
SER671,ENDOSCOPIA DE TRAQUEA Y BRONQUIOS. BRONCOSCOPIA DIAGNOSTICA (FLEXIBLE O RIGIDA) CON ASPIRACION TERAPEUTICA TRAQUEOBRONQUIAL (EJ. DRENAJE DE ABSCESO PULMONAR); INICIAL,,"5,084.35"
IMA264,US ORBITAS,,458.18
SER1806,INSUMOS DESARTER(THD) HEMORR,,"16,878.68"
108478,OTROZOL 500MG FRASCO C/250 ML (METRONIDAZOL),MEDICAMENTO,186.95
SER475,CISTOURETROSCOPIA CON MEATOTOMIA UNI O BILATERAL.,,"3,810.66"
LAB538,COMPLEMENTO C3 / C4 (Fraccion de C3 C4 completo),,"1,564.62"
SER1334,REDUCCION CERRADA DE EPIFISIOLISTESIS FEMORAL DISTAL  CON MANIPULACION CON O SIN TRACCION ESQUELETICA,,"8,466.96"
LAB230,ANTICUERPOS ANTI NUCLEARES ( ANA ),,660.89
106511,LAXOBERON-C JBE 125ML 507000,MEDICAMENTO,200.6
MAT1299,COLLAR CERVICAL BLANDO MEDIANO COC-MD,,174.8
117984,ALMETEC TRI 20/5/12.5MG CAJA C/28 TABS [OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA],,"1,362.84"
102089,CALTRATE-600+D TAB 30,MEDICAMENTO,244.34
SER1900,SERVICIOS MEDICOS PARTICULAR,SERVICIO,"6,640.00"
109042,PRE NAN LECHE 400 G,MEDICAMENTO,220.33
101658,BIFEBRAL 400 MG CPR 12,MEDICAMENTO,199.95
SER1799,USO AMEU,,"1,574.81"
SER980,INJERTO OSEO- EN MANDIBULA (INCLUYENDO OBTENCION DEL INJERTO),,"19,157.66"
103494,DICLOFENACO 100MG C/20 GRAG GI,MEDICAMENTO,92.42
LAB375,BIOPSIA DE MUSCULO CON INMUNOFLUORESCENCIA,,"1,716.58"
250007177,TRIXONA IV C/1 1GR *A,MEDICAMENTO,139.71
SER716,ESPLENECTOMIA; PARCIAL (PROCEDIMIENTO SEPARADO).,,"11,223.16"
108925,PLASIL-ENZIM GRAG 30  0110,MEDICAMENTO,191.88
SER094,USO DE LAPIZ ELECTROCAUTERIO,,96.58
104266,ESKAPAR-COMP SUSP 120ML+VASODOSIF,MEDICAMENTO,257.18
101666,BINODIAN-DEPOT IMJGAPRE1X1ML,MEDICAMENTO,297.39
112617,ATROVEN (BROMURO DE IPRATROPIO) AEROSOL 10ML (11.22G),,647.63
LAB107,AMIODARONA,,994.07
PQAS005-30032015,PAQUETE MEDICAVIAL 1ERA VEZ,,"1,144.00"
MAT12971,COLLAR CERVICAL BLANDO PEDIATRICO,OTROS,172.88
SER714,ESPALDA Y/O COSTADO. BIOPSIA DE TEJIDOS BLANDOS DE ESPALDA Y/O COSTADO.- PROFUNDA,,"2,766.65"
PQEM009,METALSA F1 + F2 PRUEBA EMBARAZO,,"1,202.20"
SER1076,LOBECTOMIA SUBTOTAL CONTRALATERAL INCLUYENDO ITSMO.,,"14,543.13"
SER448,CIRCUNCISION NIÑOS (SERVICIO MEDICO),,"3,789.39"
SER1411,REDUCCION CERRADA DE LUXACION INTERFALANGICA SIN ANESTESIA,,960.49
LAB658,FIJACION DE COMPLEMENTO P/COCCIDIOIDES SUERO,,"1,694.95"
109442,QUESTRAN PVO 9 G CJA SB C/10,MEDICAMENTO,527.28
SER1773,REIMPRESIÓN DE ESTUDIO,,39.54
106065,IVEXTERM 6 MG TAB 2,MEDICAMENTO,173.95
PQAS001-29042015,PAQUETE MAPFRE SUBSECUENTE,,
SER1985,SET DE DILATADORES ADULTO,,"2,106.00"
103120,CYMBALTA 60MG C/14 CAPS,MEDICAMENTO,897.83
LAB349,BIOPSIA DE GLANDULA PARATIROIDES (VARIOS),,"1,219.71"
IMA110,RX MANO 2 POSICIONES,,448.27
SER1050,LEGRADO TERAPEUTICO (SERVICIO MEDICO),,"6,396.15"
MATSER122,TORNILLO CORTICAL 3.5 X 26MM,,356.37
LAB239,ANTICUERPOS ANTI RICKETSIA RICKETSI TYPHI IgG IgM,,"3,292.95"
MAT341,"COPA PLUS 8"" X 8"" APOSITO C/ ESPUMA /HOJA SUPERIOR REF: 55588P",,"9,952.31"
SER1361,REDUCCION CERRADA DE FRACTURA DE MALEOLO MEDIAL SIN MANIPULACION,,"2,453.43"
SER303,ARTROSCOPIA DE RODILLA POR INFECCION LAVADO Y DRENAJE CON SINOVECTOMIA,,"12,277.61"
SER607,DECORTICACION PULMONAR; PARCIAL,,"17,925.73"
LAB456,CALPROTECTINA EN HECES,,"3,804.59"
MAT942,SACO COLOR WHITE,,525.21
114273,ANIMALIN 255G C/75 GOMITAS (vitamina c),,120.18
MAT1469,cubrezapato C/50 ambiderm,OTROS,0.95
PQAS020-21102014,PAQUETE MAPFRE 1ERA VEZ,SERVICIO,"1,703.52"
LAB955,PROLACTINA,,454.4
SER1710,USO ARTROSCOPIO 30 MIN,,"2,362.21"
IMAEXT039,RM ext  DE PELVIS PROSTATA,,"2,982.00"
105789,ILOSONE 500 MG TAB 20,MEDICAMENTO,499.38
109005,PRANOSINE 500MG CAJA C/20 TABS (METISOPRINOL),MEDICAMENTO,370.66
SER1266,REDUCCION ABIERTA DE FRACTURA CLAVICULAR CON O SIN MATERIAL DE OSTEOSINTESIS,,"8,049.35"
LAB897,PANEL PARA MYASTENIA GRAVIS 2,,"6,603.43"
105498,GOTINAL INF PUMP 0.50MG SPRAY15ML,MEDICAMENTO,223.07
SER1577,TENOLISIS  TENDON FLEXOR O EXTENSOR DE ANTEBRAZO O MUÑECA.,,"4,948.63"
MAT1010,SONDA NELATON LAT.ROJO EST.DES.40CM FR14,,93.08
SER1755,USO SISTEMA VAC,SERVICIO,"6,489.60"
MAT431,ESPEJO VAGINAL CHICO,,51.75
SER838,FASCIECTOMIA UNICAMENTE PALMAR CON O SIN Z-PLASTIA O INJERTO DE PIEL (INCLUYE OBTENCION DE INJERTO),,"10,732.47"
LAB764,INMUNOGLOBULINA ESTIMULANTE DEL TIROIDES (TSI),,"3,763.71"
SER1058,LIGADURA DE TROMPA DE FALOPIO POR VIA ABDOMINAL O VAGINAL  UNILATERAL O BILATERAL,,"8,748.84"
MAT1319,AGUJA INTRAOSEA 16 X 5 CM,,581.49
MAT552,HEMO STAT PLASMA CONTROL NORMAL 6X1ML ID,,"2,211.30"
SER695,ENTEROENTEROANASTOMOSIS; (SEPARADA DE OTRO PROCEDIMIENTO),,"13,415.59"
LAB1082,ZINC EN PLASMA O EN SUERO,,"1,345.65"
MAT509,GERMICIDA BASE DE CUATERNARIO 500ML,,178.05
MAT1047,SUSPENSORIO CHICO 310-S,,246.82
MAT1126,TUBO DE CONEXION DE SUCCION 3.01 MTS CONMED REF0036290,,160.64
102910,COLMESDANT 150MG F A CAJ C/1,MEDICAMENTO,"4,676.79"
MAT978,SONDA FOLEY 2 VIAS 18FR 30CC KENDALL,,80.25
250003601,HIDROCORTISONA 1 AMP 500MG,MEDICAMENTO,193.44
LAB597,DIHIDROTESTOSTERONA,,"1,669.25"
SER799,EXCISION O CURETAJE DE QUISTE OSEO O TUMOR BENIGNO DE FEMUR,,"9,876.38"
100311,ADVIL INF 2 G SUSP 120 ML,MEDICAMENTO,186.18
MAT1000015,ACCU CHEK GLUCOMETRO ACTIVE,,663.77
101452,BACTROPIN 160/800MG TAB 14,MEDICAMENTO,1.56
SER1279,REDUCCION ABIERTA DE FRACTURA DE DIAFISIS TIBIAL (CON O SIN FRACTURA DE PERONE) CON IMPLANTE INTRAMEDULAR CON O SIN CLAVOS Y/O CERCLAJE,,"11,129.20"
SER896,HEMORROIDECTOMIA EXTERNA E INTERNA.,,"16,619.99"
MAT318,COMBUR 10-TEST UX 100T,,"2,883.12"
IMA178,TC ABDOMEN,,"3,408.00"
110356,SODRIMAX 2/20/10MG OTICO FCO C/10ML (CIPROFLOXACINO/BENZOCAINA/HIDROCORTISONA),MEDICAMENTO,156.31
102599,CIPROFLOXACINO 500 MG TAB 14,MEDICAMENTO,130.9
MATSER137,TORNILLO ESPONJOSO ROSCA PARCIAL 4.0X16 mm,,195.71
SER2069,CLAVO KIRSCHNER 0.42,,210
114290,RADIANCE 3MG/30MCG CAJA C/28 COMP (DROSPIRENONA/ETINILETRADIOL),,207.8
MAT790,PAPEL PARA ELECTROCARDIOGRAFO 21.4 X 30MTS,,531.36
MAT1098,TPT TROMBOPLASTINA PARCIAL T 200PBS,,"2,270.24"
IMAEXT305,RM RODILLA BILATERAL,SERVICIO,"5,964.00"
110814,TAMEX 5.0/0.25MG TAB C10,MEDICAMENTO,196.65
MAT408,ELECTRODO DE POTASIO,,"2,837.20"
109196,PROCTO-GLYVENOL CREMA TUBO C/30 GR (LIDOCAINA/TRIBENOSIDO),MEDICAMENTO,394.96
SER1063,LINFADENECTOMIA AXILAR.,,"7,193.26"
103827,DRAMAMINE INF 25 MG SUPS 4,MEDICAMENTO,168.77
SER946,HISTEROSCOPIA QUIRURGICA; CON EXTIRPACION DE CUERPO EXTRAÑO IMPACTADO.,,"4,562.36"
LAB460,CAPTURA HIBRIDOS P VPH ALTOYBAJO R(AMBOS,,"2,813.90"
mat926,"ORTHOGLASS 2"" X15""BSN MEDICAL",OTROS,"3,435.80"
101336,AVAPENA 25MG C/20 TAB,MEDICAMENTO,240.75
LAB638,FACTOR DE CRECIMIENTO ENDOTELIAL VASCULAR,,"4,836.05"
114268,AMBROXOL/OXELADINA JAR 225/200MG 200ML (TENALIF AD/TERAFLU),,219.7
LAB648,FENOBARBITAL NIVEL DE,,454.4
LAB211,ANTICUERPOS ANTI INFLUENZA A Y B,,"2,418.02"
LAB585,DETECCION DE Ag.GIARDIA/CRYPTOSPORIDIUM X FLUORESENCIA DIREC,,"4,628.12"
MAT263,CETAPHIL UVA/UVB 50ML CREMA,,379.21
